counterpart_id,name,inn,org_type
1,EURO SERVICES U18,51728088251,иностр
2,Nord Group R76,39435739635,иностр
3,Inter Logistics Ltd. V22,84268768205,иностр
4,Ланевский Пасей Макович ИП,26939133594,ИП
5,ВОЯЖ ЭКСПРЕСС U89 ООО,43677064168,ООО
6,Калийева Дарнета Викична ИП,1606145735705,ИП
7,Лирянов Анрил Дмиевич ИП,1497780126022,ИП
8,МОТОР СЕРВИС M28 ООО,52920631510,ООО
9,МОТОР ЛАЙН L89 ООО,30191188662,ООО
10,ДРАЙВ ЦЕНТР P91 ООО,95313700238,ООО
11,АВТО СЕРВИС W35 ООО,12503856479,ООО
12,АВТО ЭКСПРЕСС E12 ООО,46356723307,ООО
13,АГРО ТРЕЙД T57 ООО,50345619814,ООО
14,АГРО ОПЕРАТОР H67 ООО,49149923893,ООО
15,ТРАНС ГРУПП V87 ООО,71201593801,ООО
16,ГРЕЙН ЦЕНТР J99 ООО,91673404541,ООО
19,КОНТЕЙНЕРНЫЙ ХАБ Z73 ООО,91820681735,ООО
20,АКВАСЕРВИС G31 ООО,81783041530,ООО
23,СЕЛЬХОЗ ТРЕЙД M19 ООО,24443317745,ООО
24,КАРГО ТРАНС V15 ООО,82082417652,ООО
25,ТРАСТ СЕРВИС N91 АО,68920090257,АО
26,АЛЬЯНС H60 ООО,84710505743,ООО
27,ФЛОТ ЛОГИСТИК F71 ООО,48340041748,ООО
28,АГРОФЛОУ N37 ООО,58618958506,ООО
29,Эранова Дарлина Олеевна ИП,2114183010861,ИП
30,КОЛОС СЕРВИС E99 ООО,36162374779,ООО
31,АУДИТ ГРУПП E66 НАО,90350284777,НАО
32,Эрурева Алисия Никична ИП,8325133314274,ИП
33,АЛЬФА ПАРТНЕР F68 ООО,82948155955,ООО
34,Тарурин Сертор Олеович ИП,9895266677520,ИП
35,Орисов Юррил Влаович ИП,97722684497,ИП
36,НОРД ГРУПП J94 ООО,82259699292,ООО
37,Аксурский Еврон Влаич ИП ГКФХ,5487959247311,ИП ГКФХ
38,Гораров Тигей Дмиевич ИП,15264161349,ИП
40,Норирин Алевер Егоович ИП,2736281871515,ИП
41,ЗЕРНОВОЙ N31 ООО,39266336958,ООО
